Test completed successfully.
         110257 function calls (107810 primitive calls) in 20.070 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 context.py:85(BoundedSemaphore)
      126    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        9    0.000    0.000    0.000    0.000 typing.py:1207(_generic_class_getitem)
       37    0.000    0.000    0.000    0.000 getlimits.py:113(_float_to_str)
        3    0.000    0.000    0.000    0.000 synchronize.py:151(__init__)
     2210    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
     1017    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      373    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.000    0.000 _scimath_impl.py:1(<module>)
      602    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
  422/344    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
       12    0.000    0.000    0.000    0.000 util.py:163(register_after_fork)
     1525    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      602    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      310    0.000    0.000    0.000    0.000 function_base.py:455(_needs_add_docstring)
      125    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
      460    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       12    0.000    0.000    0.000    0.000 weakref.py:164(__setitem__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
       23    0.000    0.000    0.000    0.000 overrides.py:179(decorator)
        8    0.000    0.000    0.000    0.000 __init__.py:183(sub)
      373    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        6    0.000    0.000    0.000    0.000 context.py:65(Lock)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
     1555    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      434    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:72(add_newdoc_for_scalar_type)
       12    0.000    0.000    0.000    0.000 weakref.py:347(__new__)
        6    0.000    0.000    0.000    0.000 synchronize.py:168(__init__)
      558    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      373    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.000    0.000 mcts.py:129(MCTS)
      500    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      460    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      417    0.000    0.000    0.000    0.000 typing.py:164(_type_convert)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        4    0.000    0.000    0.000    0.000 typing.py:2054(__new__)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
     1736    0.000    0.000    0.000    0.000 typing.py:840(<genexpr>)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       11    0.000    0.000    0.000    0.000 _compiler.py:514(_compile_info)
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
      460    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      460    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
       36    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
      747    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
     1126    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1126    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
       63    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
     1067    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      264    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
  561/483    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      251    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      248    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      250    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      249    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        9    0.000    0.000    0.000    0.000 synchronize.py:121(_make_name)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _linalg.py:2441(lstsq)
        2    0.000    0.000    0.000    0.000 typing.py:3142(__new__)
       38    0.000    0.000    0.000    0.000 getlimits.py:93(_float_to_float)
      583    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       25    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       85    0.000    0.000    0.000    0.000 typing.py:341(_unpack_args)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1704(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        2    0.000    0.000    0.000    0.000 process.py:128(terminate)
      267    0.000    0.000    0.000    0.000 _parser.py:167(__getitem__)
        9    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
      101    0.000    0.000    0.000    0.000 enum.py:827(__setattr__)
      294    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      764    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 synchronize.py:1(<module>)
